지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
201,2023-01-03 03:00,-10.1,,.6,360,70,2,-14.5,1027,1033.4,,,2,,0,0,,,5000,,,-4.6,,,,
201,2023-01-03 04:00,-10.7,,.7,320,74,2,-14.4,1026.7,1033.1,,,2,,0,0,,,5000,,,-4.7,,,,
201,2023-01-03 05:00,-11.4,,.2,0,74,1.9,-15.1,1026.1,1032.5,,,2,,2,0,,,5000,,,-4.8,,,,
201,2023-01-03 06:00,-10.7,,.4,0,73,2,-14.6,1026.2,1032.6,,,2,,3,0,,,5000,,,-4.9,,,,
201,2023-01-03 07:00,-11.4,,.9,360,75,1.9,-14.9,1026.2,1032.6,,,2,,0,0,,,5000,,,-4.9,,,,
201,2023-01-03 08:00,-11.6,,.4,0,77,1.9,-14.8,1026.5,1032.9,0,,2,,8,0,,,5000,,,-5,,,,
201,2023-01-03 09:00,-9.1,,.7,160,66,2,-14.2,1026.8,1033.2,.9,,2,,2,0,,,1688,,,-4.1,,,,
201,2023-01-03 10:00,-6.6,,.8,160,59,2.2,-13.3,1027.2,1033.5,1,,2,,3,0,,,3205,,,-1.7,,,,
201,2023-01-03 11:00,-4.4,,.5,160,50,2.2,-13.3,1026.9,1033.1,1,,2,,3,0,,,4865,,,-.2,,,,
201,2023-01-03 12:00,-2.1,,.8,360,39,2,-14.2,1026.2,1032.4,1,,2,,2,0,,,5000,,,3.2,,,,
201,2023-01-03 13:00,-2,,3.2,250,35,1.8,-15.4,1025.5,1031.7,1,,2,,3,0,,,5000,,,3.1,,,,
201,2023-01-03 14:00,-1.6,,2.5,200,37,2,-14.4,1024.9,1031.1,1,,2,,3,0,,,5000,,,2.8,,,,
201,2023-01-03 15:00,-1.5,,1.6,340,38,2.1,-14,1024.5,1030.7,1,,2,,2,0,,,4993,,,2,,,,
201,2023-01-03 16:00,-1.6,,2.6,200,43,2.3,-12.5,1024.5,1030.7,.7,,2,,3,0,,,4930,,,-.2,,,,
201,2023-01-03 17:00,-2.4,,2.3,200,48,2.5,-11.9,1024.6,1030.8,.8,,2,,1,0,,,5000,,,-.6,,,,
201,2023-01-03 18:00,-6,,.4,0,67,2.6,-11.1,1024.7,1031,.1,,2,,0,0,,,5000,,,-1.1,,,,
201,2023-01-03 19:00,-7.3,,1,360,70,2.5,-11.8,1024.9,1031.2,,,2,,0,0,,,5000,,,-1.4,,,,
201,2023-01-03 20:00,-7.2,,1.2,360,66,2.4,-12.4,1025.1,1031.4,,,2,,0,0,,,5000,,,-1.8,,,,
201,2023-01-03 21:00,-7.7,,1.6,360,61,2.1,-13.9,1025.1,1031.4,,,2,,0,0,,,5000,,,-2.6,,,,
201,2023-01-03 22:00,-8.1,,.7,20,67,2.2,-13.1,1025.1,1031.4,,,2,,0,0,,,5000,,,-3.4,,,,
201,2023-01-03 23:00,-8,,1,360,64,2.1,-13.6,1025.2,1031.5,,,2,,0,0,,,5000,,,-3.9,,,,
201,2023-01-04 00:00,-7.9,,.7,50,69,2.3,-12.6,1025.5,1031.8,,,2,,0,0,,,4974,,,-4.3,,,,
201,2023-01-04 01:00,-8.1,,.4,0,73,2.4,-12,1025.1,1031.4,,,2,,1,0,,,5000,,,-4.5,,,,
201,2023-01-04 02:00,-7.8,,1.4,20,69,2.3,-12.5,1024.9,1031.2,,,2,,2,0,,,5000,,,-4.6,,,,
201,2023-01-04 03:00,-7.2,,.1,0,71,2.5,-11.5,1024.9,1031.2,,,2,,9,2,,11,5000,,,-3.9,,,,
201,2023-01-04 04:00,-6.5,,.3,0,65,2.4,-12,1025,1031.3,,,2,,9,9,,10,3201,,,-2.8,,,,
201,2023-01-04 05:00,-4.6,,.3,0,51,2.2,-13.2,1024.9,1031.1,,,2,,9,9,,10,5000,,,-2.3,,,,
201,2023-01-04 06:00,-6.2,,.3,0,71,2.7,-10.6,1025.2,1031.5,,,2,,9,9,,11,416,,,-2.7,,,,
201,2023-01-04 07:00,-8.1,,.7,50,71,2.4,-12.4,1025.6,1031.9,,,2,,4,2,,,4553,,,-4.2,,,,
201,2023-01-04 08:00,-9,,.1,0,76,2.4,-12.4,1025.8,1032.1,0,,2,,1,0,,,4992,,,-4.7,,,,
201,2023-01-04 09:00,-6.2,,.1,0,70,2.7,-10.7,1026,1032.3,.9,,2,,3,0,,,1244,,,-3.6,,,,
201,2023-01-04 10:00,-4.1,,.8,140,59,2.7,-10.9,1026.6,1032.8,1,,2,,4,0,,,2504,,,-.9,,,,
201,2023-01-04 11:00,-1.3,,.9,160,47,2.6,-11.1,1026.9,1033.1,1,,2,,4,0,,,3045,,,.8,,,,
201,2023-01-04 12:00,.5,,2.7,200,45,2.9,-10,1026.3,1032.4,1,,2,,4,0,,,4559,,,1.8,,,,
201,2023-01-04 13:00,1.3,,1.8,340,48,3.2,-8.5,1025.7,1031.8,1,,2,,2,0,,,3756,,,2.9,,,,
201,2023-01-04 14:00,1,,3.3,320,48,3.1,-8.8,1025.4,1031.5,1,,2,,3,0,,,3809,,,2.9,,,,
201,2023-01-04 15:00,1.3,,3,290,43,2.9,-9.9,1025.1,1031.2,1,,2,,3,0,,,4417,,,2,,,,
201,2023-01-04 16:00,1.2,,1.6,340,42,2.8,-10.3,1025.1,1031.2,.7,,2,,3,0,,,4654,,,-.2,,,,
201,2023-01-04 17:00,-.2,,2.1,320,48,2.9,-9.9,1025.1,1031.2,.8,,2,,3,0,,,3256,,,-.2,,,,
201,2023-01-04 18:00,-3.1,,1.3,340,65,3.2,-8.7,1025.2,1031.4,.1,,2,,0,0,,,3268,,,-.4,,,,
201,2023-01-04 19:00,-4.2,,.4,0,72,3.2,-8.5,1025.6,1031.8,,,2,,0,0,,,2782,,,-.7,,,,
201,2023-01-04 20:00,-5,,.7,50,73,3.1,-9,1025.7,1032,,,2,,0,0,,,3459,,,-.9,,,,
201,2023-01-04 21:00,-5,,.5,360,79,3.3,-8,1025.7,1032,,,2,,0,0,,,2783,,,-1.1,,,,
201,2023-01-04 22:00,-5.6,,.6,360,82,3.3,-8.1,1025.9,1032.2,,,2,,0,0,,,2725,,,-1.5,,,,
201,2023-01-04 23:00,-6.6,,.3,0,82,3.1,-9.1,1026.1,1032.4,,,2,,0,0,,,3007,,,-2.3,,,,
201,2023-01-05 00:00,-6.7,,.5,340,78,2.9,-9.9,1026.2,1032.5,,,2,,0,0,,,4991,,,-3,,,,
201,2023-01-05 01:00,-6.5,,1.3,20,75,2.8,-10.2,1026.2,1032.5,,,2,,0,0,,,5000,,,-3.6,,,,
201,2023-01-05 02:00,-6.4,,1.4,20,73,2.8,-10.4,1026.5,1032.8,,,2,,1,0,,,4400,,,-3.9,,,,
201,2023-01-05 03:00,-6.7,,1.4,20,77,2.9,-10,1026.6,1032.9,,,2,,0,0,,,3131,,,-4.2,,,,
201,2023-01-05 04:00,-7.8,,.2,0,89,3,-9.3,1026.7,1033,,,2,,0,0,,,2050,,,-4.5,,,,
201,2023-01-05 05:00,-7.7,,.5,20,92,3.2,-8.7,1026.4,1032.7,,,2,,0,0,,,1699,,,-4.7,,,,
201,2023-01-05 06:00,-9,,0,0,93,2.9,-9.9,1026.5,1032.9,,,2,,0,0,,,1064,,,-4.8,,,,
201,2023-01-05 07:00,-8.3,,.7,50,95,3.1,-8.9,1026.4,1032.7,,,2,,0,0,,,2070,,,-4.9,,,,
201,2023-01-05 08:00,-7.5,,.9,20,95,3.3,-8.1,1026.5,1032.8,0,,2,,9,4,,8,853,,,-4,,,,
201,2023-01-05 09:00,-6.4,,.3,0,90,3.4,-7.7,1026.8,1033.1,0,,2,,2,2,,8,912,,,-2.6,,,,
201,2023-01-05 10:00,-5.5,,.6,140,77,3.1,-8.8,1027.2,1033.5,0,,2,,5,5,,10,1070,,,-1.4,,,,
201,2023-01-05 11:00,-3.4,,.9,160,72,3.4,-7.7,1027.1,1033.3,.1,,2,,6,3,,10,1071,,,-.1,,,,
201,2023-01-05 12:00,-1.8,,1,160,66,3.5,-7.3,1026.4,1032.6,0,,2,,6,6,,9,1348,,,.1,,,,
201,2023-01-05 13:00,-.9,,.8,160,56,3.2,-8.5,1025.6,1031.7,0,,2,,7,7,,10,1732,,,.3,,,,
201,2023-01-05 14:00,1.1,,.6,180,45,3,-9.5,1025.3,1031.4,.7,,2,,4,0,,,2231,,,1.2,,,,
201,2023-01-05 15:00,2,,1,160,40,2.8,-10.2,1024.8,1030.9,1,,2,,4,0,,,2799,,,1.1,,,,
201,2023-01-05 16:00,2.4,,.7,200,41,3,-9.5,1025.2,1031.3,.7,,2,,3,0,,,2352,,,-.1,,,,
201,2023-01-05 17:00,-1,,.7,320,63,3.6,-7.1,1025.5,1031.7,.7,,2,,4,0,,,2203,,,-.2,,,,
201,2023-01-05 18:00,-3.3,,.7,360,69,3.3,-8.1,1025.4,1031.6,0,,2,,6,0,,,2200,,,-.4,,,,
201,2023-01-05 19:00,-3.9,,1.2,20,72,3.3,-8.2,1025.2,1031.4,,,2,,6,0,,,2081,,,-.6,,,,
201,2023-01-05 20:00,-3.8,,.2,0,68,3.1,-8.8,1024.8,1031,,,2,,3,0,,,2135,,,-1.2,,,,
201,2023-01-05 21:00,-3.8,,1.2,360,72,3.3,-8.1,1024.4,1030.6,,,2,,7,0,,,2054,,,-1.9,,,,
201,2023-01-05 22:00,-4.5,,0,0,76,3.3,-8,1024.6,1030.8,,,2,,7,0,,,1677,,,-2.5,,,,
201,2023-01-05 23:00,-5.9,,.1,0,91,3.6,-7.1,1024.4,1030.7,,,2,,5,0,,,1273,,,-3.1,,,,
201,2023-01-06 00:00,-6.2,,.6,20,88,3.4,-7.8,1024.5,1030.8,,,2,,1,0,,,1339,,,-3.4,,,,
201,2023-01-06 01:00,-5.7,,.2,0,90,3.6,-7,1024.1,1030.4,,,2,,7,0,,,1324,,,-3.6,,,,
201,2023-01-06 02:00,-6.6,,.5,20,92,3.5,-7.6,1023.9,1030.2,,,2,,8,0,,,1160,,,-3.9,,,,
201,2023-01-06 03:00,-6.7,,.4,0,93,3.5,-7.6,1023.9,1030.2,,,2,,2,0,,,1110,,,-4,,,,
201,2023-01-06 04:00,-6.7,,.3,0,92,3.4,-7.7,1023.6,1029.9,,,2,,5,0,,,1012,,,-4,,,,
201,2023-01-06 05:00,-6.9,,.7,20,87,3.2,-8.7,1023,1029.3,,,2,,9,0,,,1035,,,-4.2,,,,
201,2023-01-06 06:00,-6.8,,.6,20,91,3.3,-8,1022,1028.3,,,2,,0,0,,,832,,,-4.3,,,,
201,2023-01-06 07:00,-6.3,,1.1,50,89,3.4,-7.8,1021.3,1027.6,,,2,,0,0,,,781,,,-4.3,,,,
201,2023-01-06 08:00,-5.1,,1.3,20,84,3.5,-7.3,1021.2,1027.4,0,,2,,0,0,,,943,,,-4.3,,,,
201,2023-01-06 09:00,-2.4,,.9,70,68,3.5,-7.5,1020.5,1026.7,.7,,2,,1,0,,,1155,,,-3,,,,
201,2023-01-06 10:00,-.5,,1.1,140,62,3.7,-6.8,1020.5,1026.6,1,,2,,7,0,,,1294,,,-.4,,,,
201,2023-01-06 11:00,1.4,,1,140,57,3.8,-6.2,1020.2,1026.3,.9,,2,,7,0,,,1149,,,.9,,,,
201,2023-01-06 12:00,3,,1.4,160,55,4.2,-5.1,1019.1,1025.1,.4,,2,,8,7,,9,1247,,,1.5,,,,
201,2023-01-06 13:00,2.9,,1.8,160,58,4.4,-4.5,1017.5,1023.5,.1,,2,,8,8,,8,989,,,1.1,,,,
201,2023-01-06 14:00,3.6,,2.2,160,60,4.8,-3.4,1016,1022,.5,,2,,7,2,,31,778,,,2.6,,,,
201,2023-01-06 15:00,4.3,,1.3,160,64,5.3,-1.9,1014.6,1020.6,.4,,2,,7,0,,,536,,,1.9,,,,
201,2023-01-06 16:00,4.1,,1.4,160,66,5.4,-1.6,1013.7,1019.7,0,,2,,9,0,,,452,,,.9,,,,
201,2023-01-06 17:00,3.5,,.5,20,70,5.5,-1.4,1013,1019,0,,2,,9,4,,6,405,,,.2,,,,
201,2023-01-06 18:00,3.4,,1.1,20,72,5.6,-1.1,1012.4,1018.4,0,,2,,8,3,,5,379,,,.1,,,,
201,2023-01-06 19:00,2.9,,1.4,20,77,5.8,-.7,1011.5,1017.5,,,2,,8,3,,5,343,,,.2,,,,
201,2023-01-06 20:00,1.9,,.4,0,97,6.8,1.4,1011.1,1017.1,,,2,,10,5,,,136,,,.1,,,,
201,2023-01-06 21:00,1.8,3.4,1,70,100,6.9,1.7,1009.8,1015.8,,,2,,9,6,,,145,,,.1,,,,
201,2023-01-06 22:00,.9,,1.6,20,100,6.5,.8,1009.5,1015.5,,,2,,9,5,,,90,,,0,,,,
201,2023-01-06 23:00,1.3,,.8,50,100,6.7,1.2,1009.1,1015.1,,,2,,9,4,,2,96,,,0,,,,
201,2023-01-07 00:00,.6,6.9,.4,0,100,6.3,.5,1008.9,1014.9,,,2,,9,9,,,63,,,0,,,,
201,2023-01-07 01:00,.1,,.4,0,100,6.1,0,1008.8,1014.8,,,2,,9,7,,,38,,,0,,,,
201,2023-01-07 02:00,.6,,.1,0,100,6.3,.5,1009.2,1015.2,,,2,,9,2,,,35,,,0,,,,
201,2023-01-07 03:00,1.4,.2,2.5,320,100,6.7,1.3,1009.6,1015.6,,,2,,9,3,,5,133,,,0,,,,
201,2023-01-07 04:00,1.5,,2.5,340,100,6.8,1.4,1010.2,1016.2,,,2,,9,3,,2,126,,,0,,,,
201,2023-01-07 05:00,1.3,,4.4,320,100,6.7,1.2,1010.6,1016.6,,,2,,10,10,,2,224,,,0,,,,
201,2023-01-07 06:00,1.1,,3,230,98,6.5,.8,1011.1,1017.1,,,2,,10,9,,3,264,,,0,,,,
201,2023-01-07 07:00,1.3,,2.3,200,93,6.2,.2,1012.2,1018.2,,,2,,10,10,,3,332,,,0,,,,
201,2023-01-07 08:00,1,,3.3,340,90,5.9,-.4,1013.1,1019.1,0,,2,,9,8,,6,277,,,0,,,,
201,2023-01-07 09:00,1,,1.5,250,84,5.5,-1.4,1013.7,1019.7,0,,2,,9,3,,9,330,,,.2,,,,
201,2023-01-07 10:00,1,,2,230,83,5.5,-1.5,1014.6,1020.6,0,,2,,6,6,,43,296,,,.7,,,,
201,2023-01-07 11:00,1.7,,3.1,230,77,5.3,-1.9,1015.3,1021.3,.6,,2,,3,3,,75,305,,,1.7,,,,
201,2023-01-07 12:00,2.4,,3.8,200,67,4.9,-3.1,1014.9,1020.9,1,,2,,1,0,,,399,,,3.1,,,,
201,2023-01-07 13:00,2.9,,2.5,250,67,5,-2.6,1014.8,1020.8,1,,2,,4,0,,,392,,,4.3,,,,
201,2023-01-07 14:00,2.5,,2.5,250,68,5,-2.8,1015.2,1021.2,.6,,2,,6,0,,,394,,,3.9,,,,
201,2023-01-07 15:00,2.9,,2.5,290,68,5.1,-2.4,1015.1,1021.1,.9,,2,,5,0,,,466,,,3.4,,,,
201,2023-01-07 16:00,3,,2.8,250,58,4.4,-4.4,1015.5,1021.5,.6,,2,,2,0,,,742,,,2.2,,,,
201,2023-01-07 17:00,2.3,,2.1,250,62,4.5,-4.2,1016,1022,.6,,2,,3,0,,,890,,,.2,,,,
201,2023-01-07 18:00,-.5,,1.5,340,80,4.7,-3.5,1016.7,1022.8,0,,2,,0,0,,,846,,,0,,,,
201,2023-01-07 19:00,-1.6,,1.2,360,87,4.8,-3.4,1017.2,1023.3,,,2,,0,0,,,666,,,0,,,,
201,2023-01-07 20:00,-2.5,,.5,320,89,4.5,-4,1017.8,1023.9,,,2,,0,0,,,556,,,0,,,,
201,2023-01-07 21:00,-2.8,,.8,360,92,4.6,-3.9,1018.5,1024.7,,,2,,0,0,,,534,,,-.1,,,,
201,2023-01-07 22:00,-3.4,,1,20,94,4.5,-4.2,1018.8,1025,,,2,,0,0,,,507,,,-.1,,,,
201,2023-01-07 23:00,-3.7,,1.8,360,92,4.3,-4.8,1018.2,1024.4,,,2,,0,0,,,572,,,0,,,,
201,2023-01-08 00:00,-4.4,,.4,0,94,4.2,-5.2,1018.6,1024.8,,,2,,0,0,,,673,,,-.1,,,,
201,2023-01-08 01:00,-4.5,,1.1,360,96,4.2,-5,1019,1025.2,,,2,,1,0,,,584,,,-.1,,,,
201,2023-01-08 02:00,-4.5,,.7,360,93,4.1,-5.4,1019.6,1025.8,,,2,,2,0,,,666,,,-.2,,,,
201,2023-01-08 03:00,-5,,.4,0,96,4.1,-5.5,1020.4,1026.6,,,2,,6,0,,,657,,,-.2,,,,
201,2023-01-08 04:00,-5,,1.1,20,93,3.9,-5.9,1019.8,1026,,,2,,6,0,,,849,,,-.4,,,,
201,2023-01-08 05:00,-5.3,,.2,0,94,3.9,-6.1,1019.1,1025.3,,,2,,2,0,,,890,,,-.5,,,,
201,2023-01-08 06:00,-6.3,,.3,0,95,3.6,-6.9,1020.5,1026.7,,,2,,6,0,,,844,,,-.6,,,,
201,2023-01-08 07:00,-5.7,,.6,50,91,3.6,-6.9,1020.6,1026.8,,,2,,6,0,,,1038,,,-.7,,,,
201,2023-01-08 08:00,-5.9,,1,70,95,3.8,-6.5,1020.7,1026.9,0,,2,,0,0,,,674,,,-.8,,,,
201,2023-01-08 09:00,-4.1,,.9,70,89,4,-5.6,1021.1,1027.3,.6,,2,,4,0,,,723,,,-.4,,,,
201,2023-01-08 10:00,-2,,.8,50,74,3.9,-6,1021.2,1027.4,1,,2,,4,0,,,648,,,0,,,,
201,2023-01-08 11:00,-.1,,1.5,20,69,4.2,-5.1,1020.9,1027,1,,2,,3,0,,,662,,,.3,,,,
201,2023-01-08 12:00,1.3,,1.3,50,65,4.4,-4.5,1020.4,1026.5,1,,2,,3,0,,,686,,,.5,,,,
201,2023-01-08 13:00,3.2,,1,180,58,4.5,-4.2,1019.7,1025.7,1,,2,,1,0,,,839,,,.7,,,,
201,2023-01-08 14:00,3.9,,1.1,180,53,4.3,-4.8,1019.3,1025.3,1,,2,,1,0,,,1266,,,.9,,,,
201,2023-01-08 15:00,4,,1.3,180,55,4.5,-4.2,1018.8,1024.8,.7,,2,,1,0,,,1674,,,.4,,,,
201,2023-01-08 16:00,3.6,,1.2,180,60,4.8,-3.4,1018.5,1024.5,0,,2,,9,5,,19,1945,,,.1,,,,
201,2023-01-08 17:00,3,,.4,0,66,5,-2.7,1018.7,1024.7,0,,2,,9,9,,21,1729,,,0,,,,
201,2023-01-08 18:00,1.8,,1.2,20,76,5.3,-1.9,1018.8,1024.8,0,,2,,9,9,,21,1592,,,-.1,,,,
201,2023-01-08 19:00,2.3,,.7,360,70,5,-2.6,1019.2,1025.2,,,2,,9,2,,10,1280,,,0,,,,
201,2023-01-08 20:00,1.7,,.2,0,79,5.5,-1.5,1019.5,1025.6,,,2,,9,9,,8,1152,,,0,,,,
201,2023-01-08 21:00,1.6,,.3,0,80,5.5,-1.4,1019.4,1025.5,,,2,,9,9,,7,1249,,,0,,,,
201,2023-01-08 22:00,2,,.9,20,76,5.4,-1.7,1019.1,1025.1,,,2,,9,9,,6,1115,,,0,,,,
201,2023-01-08 23:00,2.6,,.8,20,66,4.9,-3.1,1019.1,1025.1,,,2,,9,9,,6,1161,,,0,,,,
201,2023-01-09 00:00,2.1,,.6,140,73,5.2,-2.2,1018.8,1024.8,,,2,,9,9,,,909,,,0,,,,
201,2023-01-09 01:00,2.1,,.4,0,70,5,-2.8,1018.2,1024.2,,,2,,10,10,,5,911,,,0,,,,
201,2023-01-09 02:00,2,,.5,20,74,5.2,-2.1,1018.1,1024.1,,,2,,10,10,,3,767,,,0,,,,
201,2023-01-09 03:00,2.2,,.5,20,73,5.2,-2.1,1018,1024,,,2,,9,9,,6,952,,,0,,,,
201,2023-01-09 04:00,1.7,,.9,270,77,5.3,-1.9,1017.8,1023.8,,,2,,9,9,,4,726,,,.1,,,,
